claim_id,policy_id,claim_date,claim_amount,claim_type,description
C-1001,P-001,2025-01-01,28000,auto,Rear-end collision; police report filed; staged accident suspected.
C-1002,P-001,2025-01-01,29000,auto,Duplicate submission same day; photos attached; repeat incident.
C-1003,P-002,2025-01-02,2940,property,Follow-up medical expenses from prior accident.
C-1004,P-003,2025-01-03,3280,health,Basement flooding after pipe burst.
C-1005,P-004,2025-01-04,3620,travel,Surgery reimbursement; receipts provided.
C-1006,P-005,2025-01-05,3960,auto,Flight cancellation due to weather.
C-1007,P-006,2025-01-06,4300,property,Windstorm damage to siding.
C-1008,P-007,2025-01-07,4640,health,Lost luggage reimbursement.
C-1009,P-008,2025-01-08,4980,travel,Water heater failure affected finished basement.
C-1010,P-009,2025-01-09,5320,auto,Minor bumper repair; police report pending.
C-1011,P-010,2025-01-10,5660,property,Rental vehicle coverage extension.
C-1012,P-011,2025-01-11,6000,health,Approved physical therapy invoices.
C-1013,P-012,2025-01-12,6340,travel,Home burglary claim; receipts uploaded.
C-1014,P-013,2025-01-13,6680,auto,Rear-end collision; police report filed.
C-1015,P-014,2025-01-14,7020,property,Follow-up medical expenses from prior accident.
C-1016,P-015,2025-01-15,7360,health,Basement flooding after pipe burst.
C-1017,P-016,2025-01-16,7700,travel,Surgery reimbursement; receipts provided.
C-1018,P-017,2025-01-17,8040,auto,Flight cancellation due to weather.
C-1019,P-018,2025-01-18,8380,property,Windstorm damage to siding.
C-1020,P-019,2025-01-19,8720,health,Lost luggage reimbursement.
C-1021,P-020,2025-01-20,36500,travel,Water heater failure affected finished basement; duplicate submission.
C-1022,P-021,2025-01-21,9400,auto,Minor bumper repair; police report pending.
C-1023,P-022,2025-01-22,9740,property,Rental vehicle coverage extension.
C-1024,P-023,2025-01-23,28000,health,Approved physical therapy invoices; possible staged loss.
C-1025,P-024,2025-01-24,10420,travel,Home burglary claim; receipts uploaded.
C-1026,P-025,2025-01-25,10760,auto,Rear-end collision; police report filed.
C-1027,P-026,2025-01-26,11100,property,Follow-up medical expenses from prior accident.
C-1028,P-027,2025-01-27,11440,health,Basement flooding after pipe burst.
C-1029,P-028,2025-01-28,11780,travel,Surgery reimbursement; receipts provided.
C-1030,P-029,2025-01-29,12120,auto,Flight cancellation due to weather.
C-1031,P-030,2025-01-30,12460,property,Windstorm damage to siding.
C-1032,P-031,2025-01-31,12800,health,Lost luggage reimbursement.
C-1033,P-032,2025-01-01,13140,travel,Water heater failure affected finished basement.
C-1034,P-033,2025-01-02,13480,auto,Minor bumper repair; police report pending.
C-1035,P-034,2025-01-03,13820,property,Rental vehicle coverage extension.
C-1036,P-034,2025-01-03,15570,property,Duplicate submission same day; photos attached; repeat incident.
C-1037,P-035,2025-01-04,14160,health,Approved physical therapy invoices.
C-1038,P-036,2025-01-05,14500,travel,Home burglary claim; receipts uploaded.
C-1039,P-037,2025-01-06,14840,auto,Rear-end collision; police report filed.
C-1040,P-038,2025-01-07,2600,property,Follow-up medical expenses from prior accident.
C-1041,P-039,2025-01-08,34300,health,Basement flooding after pipe burst; suspicious narrative.
C-1042,P-040,2025-01-09,3280,travel,Surgery reimbursement; receipts provided.
C-1043,P-041,2025-01-10,3620,auto,Flight cancellation due to weather.
C-1044,P-042,2025-01-11,3960,property,Windstorm damage to siding.
C-1045,P-043,2025-01-12,4300,health,Lost luggage reimbursement.
C-1046,P-044,2025-01-13,4640,travel,Water heater failure affected finished basement.
C-1047,P-045,2025-01-14,28000,auto,Minor bumper repair; police report pending; duplicate submission.
C-1048,P-046,2025-01-15,5320,property,Rental vehicle coverage extension.
C-1049,P-047,2025-01-16,5660,health,Approved physical therapy invoices.
